Name,Amount (USD),Amount (TWD),Amount (INR),Amount (THB),Category,Date,Source,Currency Used
ChargeSPOT,1.87,60,158.21,62.44,Miscellaneous,2024-08-11,Chungwa Post Bank Passbook,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-08-12,Cash,TWD
7-Eleven,3.68,118,311.15,122.79,Eating/Drinking Out,2024-08-12,Cash,TWD
7-Eleven,1.09,35,92.29,36.42,Eating/Drinking Out,2024-08-12,Cash,TWD
Tulsi Indian Restaurant,14.41,462,"1,218.22",480.75,Eating/Drinking Out,2024-08-12,Cash,TWD
Uber,4.9,157,413.99,163.37,Travel,2024-08-12,Chungwa Post Bank Passbook,TWD
FamilyMart,2.8,89.79,236.77,93.44,Eating/Drinking Out,2024-08-12,WF Checking,USD
Far EasTone,3.12,100,263.69,104.06,Miscellaneous,2024-08-12,Chungwa Post Bank Passbook,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-08-13,Cash,TWD
ChargeSPOT,1.87,60,158.21,62.44,Miscellaneous,2024-08-13,Chungwa Post Bank Passbook,TWD
Gakuden Boulangerie,3.12,100,263.69,104.06,Eating/Drinking Out,2024-08-13,Cash,TWD
McDonald's,2.1,67.34,177.58,70.08,Eating/Drinking Out,2024-08-13,WF Checking,USD
Lucy's,27.72,889,"2,344.16",925.08,Miscellaneous,2024-08-13,Cash,TWD
Giordano,30.87,990,"2,610.48","1,030.18",Miscellaneous,2024-08-13,Cash,TWD
ChiuTa Stationery Store,1.09,35,92.29,36.42,Miscellaneous,2024-08-13,Cash,TWD
FamilyMart,2.28,67.34,192.8,76.08,Eating/Drinking Out,2024-08-14,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-08-14,Cash,TWD
Drinkstore ,2.37,76,200.4,79.08,Eating/Drinking Out,2024-08-14,Cash,TWD
Carrefour,2.96,95,250.5,98.86,Eating/Drinking Out,2024-08-14,Cash,TWD
Uber Eats,10.76,345,909.71,359,Eating/Drinking Out,2024-08-14,Chungwa Post Bank Passbook,TWD
Target Bakery,9.35,300,791.06,312.18,Eating/Drinking Out,2024-08-15,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-08-15,Cash,TWD
Drinkstore,2.37,76,200.4,79.08,Eating/Drinking Out,2024-08-15,Cash,TWD
FamilyMart,2.14,68.63,180.96,71.41,Eating/Drinking Out,2024-08-15,WF Checking,USD
好朋友大賣場,12.35,396,"1,044.19",412.07,Miscellaneous,2024-08-15,Cash,TWD
Lucky You ,9.04,290,764.69,301.77,Eating/Drinking Out,2024-08-15,Cash,TWD
Uber,4.21,135,355.97,140.48,Travel,2024-08-15,Chungwa Post Bank Passbook,TWD
Eslite ,4.83,155,408.71,161.29,Miscellaneous,2024-08-16,Cash,TWD
Target Bakery,5.49,176,464.09,183.14,Eating/Drinking Out,2024-08-16,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-08-16,Cash,TWD
Din Tai Fung,15.59,500,"1,318.43",520.29,Eating/Drinking Out,2024-08-16,Cash,TWD
ChargeSPOT,1.4,45,118.66,46.83,Miscellaneous,2024-08-16,Chungwa Post Bank Passbook,TWD
Uber,4.8,154,406.07,160.25,Travel,2024-08-16,Chungwa Post Bank Passbook,TWD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-08-16,WF Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-08-16,Chase Checking,USD
7-Eleven,1.91,61.25,161.51,63.74,Eating/Drinking Out,2024-08-17,WF Checking,USD
FamilyMart,3.8,121.86,321.33,126.81,Eating/Drinking Out,2024-08-17,WF Checking,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-08-17,WF Checking,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-08-17,WF Checking,USD
Yehliu Geopark,4.05,130,342.79,135.28,Entertainment,2024-08-17,Cash,TWD
采晶藝品,6.24,200,527.37,208.12,Miscellaneous,2024-08-17,Cash,TWD
Taipei Zoo,1.91,61.25,161.51,63.74,Entertainment,2024-08-17,WF Checking,USD
Taipei Zoo Gift Shop,5.42,173.81,458.32,180.87,Miscellaneous,2024-08-17,WF Checking,USD
Din Don Accessory,5.92,190,501,197.71,Miscellaneous,2024-08-17,Cash,TWD
Gongguan Night Market,0.94,30,79.11,31.22,Eating/Drinking Out,2024-08-17,Cash,TWD
Gongguan Night Market,3.12,100,263.69,104.06,Apparel,2024-08-17,Cash,TWD
ChargeSPOT,0.94,30,79.11,31.22,Miscellaneous,2024-08-17,Chungwa Post Bank Passbook,TWD
Zhongshan Market,21.2,680,"1,793.06",707.6,Miscellaneous,2024-08-17,Cash,TWD
Carrefour,2.48,79.53,209.71,82.76,Eating/Drinking Out,2024-08-17,CapitalOne Checking,USD
Uber,3.93,126,332.24,131.11,Travel,2024-08-17,Chungwa Post Bank Passbook,TWD
7-Eleven,3.54,113.52,299.35,118.13,Eating/Drinking Out,2024-08-18,CapitalOne Checking,USD
Train Ticket,20.58,660,"1,740.32",686.79,Travel,2024-08-18,Cash,TWD
樂見里,3.74,120,316.42,124.87,Eating/Drinking Out,2024-08-18,Cash,TWD
Starbucks,3.1,99.41,262.14,103.45,Eating/Drinking Out,2024-08-18,CapitalOne Checking,USD
天九,6.24,200,527.37,208.12,Miscellaneous,2024-08-18,Cash,TWD
Madina Pakistani Restaurant,9.35,300,791.06,312.18,Eating/Drinking Out,2024-08-18,Cash,TWD
Uniqlo,18.4,590.07,"1,555.93",614.02,Apparel,2024-08-18,CapitalOne Checking,USD
Train Ticket,14.04,450.25,"1,187.24",468.52,Travel,2024-08-18,WF Checking,USD
ChargeSPOT,1.87,60,158.21,62.44,Miscellaneous,2024-08-18,Chungwa Post Bank Passbook,TWD
FamilyMart,2.39,76.64,202.1,79.76,Eating/Drinking Out,2024-08-18,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-08-19,Cash,TWD
臺大出版中校史館書店,25.79,827,"2,180.68",860.56,Apparel,2024-08-19,Chungwa Post Bank Passbook,TWD
FamilyMart,2.93,94,247.86,97.81,Eating/Drinking Out,2024-08-19,Chungwa Post Bank Passbook,TWD
Choice Italian Cuisine,13.16,422,"1,112.75",439.13,Eating/Drinking Out,2024-08-19,Cash,TWD
Sunny Hills,9.35,300,791.06,312.18,Miscellaneous,2024-08-19,Cash,TWD
麥格子,6.55,210,553.74,218.52,Miscellaneous,2024-08-19,Cash,TWD
豬豬,3.12,100,263.69,104.06,Miscellaneous,2024-08-19,Cash,TWD
Uber,4.96,159.06,419.42,165.52,Travel,2024-08-19,CapitalOne Checking,USD
Carrefour,4.15,133,350.7,138.4,Eating/Drinking Out,2024-08-19,Chungwa Post Bank Passbook,TWD
NTU Merch Store,17.15,550,"1,450.27",572.32,Miscellaneous,2024-08-20,Chungwa Post Bank Passbook,TWD
Doki Poké,4.37,140,369.16,145.68,Eating/Drinking Out,2024-08-20,Cash,TWD
Ultra Mobile,28.12,901.78,"2,377.86",938.38,Utilities,2024-08-20,WF Checking,USD
Uber Eats,8.11,260,685.58,270.55,Eating/Drinking Out,2024-08-20,Chungwa Post Bank Passbook,TWD
Uber,17.15,550,"1,450.27",572.32,Travel,2024-08-20,Chungwa Post Bank Passbook,TWD
LAX Vendine Machine,4.1,131.48,346.7,136.82,Eating/Drinking Out,2024-08-21,WF Checking,USD
Starbucks,15.67,502.52,"1,325.07",522.92,Eating/Drinking Out,2024-08-21,WF Checking,USD
CAVA,15.55,498.67,"1,314.93",518.91,Eating/Drinking Out,2024-08-21,WF Checking,USD
TX DPS,33,1058.28,"2,790.52","1,101.23",Miscellaneous,2024-08-22,Chase Freedom Flex,USD
ThriftBooks,9.07,290.87,766.97,302.67,Education,2024-08-22,Chase Freedom Flex,USD
Interest,14.38,461.15,"1,215.99",479.87,Fees,2024-08-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,2.1,67.34,177.58,70.08,Fees,2024-08-22,UFCU Platinum Cashback,USD
Spotify,6.48,207.81,547.96,216.24,Subscriptions,2024-08-23,WF Checking,USD
Hanabi Ramen,21.61,693.01,"1,827.37",721.14,Eating/Drinking Out,2024-08-23,WF Checking,USD
ixigo,8.44,270.78,714,281.77,Travel,2024-08-24,Bank of Baroda Savings,INR
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-08-25,Discover It Cashback,USD
Electricity & Internet,85.02,2726.51,"7,189.39","2,837.16",Utilities,2024-08-26,WF Checking,USD
Target,33.8,1084,"2,858.35","1,127.99",Groceries,2024-08-26,Chungwa Post Bank Passbook,TWD
Chat Patta,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-08-27,Discover It Cashback,USD
Uber,10.96,351.48,926.79,365.74,Travel,2024-08-27,Discover It Cashback,USD
Swan Dive,11,352.76,930.17,367.08,Entertainment,2024-08-27,Discover It Cashback,USD
Uber,10.99,352.44,929.33,366.74,Travel,2024-08-27,Discover It Cashback,USD
Taco Joint,9.74,312.35,823.63,325.03,Eating/Drinking Out,2024-08-28,Discover It Cashback,USD
Target,8.71,279.32,736.53,290.66,Groceries,2024-08-28,Discover It Cashback,USD
Hook 'em Hut,3.59,115.13,303.57,119.8,Eating/Drinking Out,2024-08-29,Discover It Cashback,USD
7-Eleven,8.65,277.4,731.45,288.65,Eating/Drinking Out,2024-08-29,Discover It Cashback,USD
7-Eleven,2.48,79.53,209.71,82.76,Eating/Drinking Out,2024-08-29,Chase Freedom Flex,USD
Noam's Gelato & Bean,7.46,239.23,630.83,248.94,Eating/Drinking Out,2024-08-30,Discover It Cashback,USD
Bookpeople,6,192.41,507.37,200.22,Education,2024-08-31,Discover It Cashback,USD
Nueces Mart,5.17,165.8,437.18,172.53,Eating/Drinking Out,2024-09-01,Discover It Cashback,USD
Uber,6,192.41,507.37,200.22,Travel,2024-09-01,Chase Checking,USD
TickPick,65,2084.49,"5,496.48","2,169.08",Entertainment,2024-09-02,Chase Checking,USD
Rent,877.49,28140.23,"74,201.57","29,282.28",Rent,2024-09-02,WF Checking,USD
Chick-fil-A,7.14,228.97,603.77,238.27,Eating/Drinking Out,2024-09-03,Discover It Cashback,USD
Chat Patta,7.35,235.71,621.52,245.27,Eating/Drinking Out,2024-09-03,WF Checking,USD
Target,30.5,978.1,"2,579.12","1,017.80",Groceries,2024-09-04,Discover It Cashback,USD
CVS Pharmacy,7.35,235.71,621.52,245.27,Miscellaneous,2024-09-04,WF Checking,USD
Mai Thai Restaurant,24.16,774.79,"2,043.00",806.23,Eating/Drinking Out,2024-09-04,Discover It Cashback,USD
Netfliix,16.77,537.8,"1,418.09",559.62,Subscriptions,2024-09-04,Discover It Cashback,USD
FlixBus,70.97,2275.94,"6,001.31","2,368.30",Travel,2024-09-05,Discover It Cashback,USD
Chick-fil-A,3.52,112.88,297.66,117.46,Eating/Drinking Out,2024-09-05,WF Checking,USD
O's Cafe,3.19,102.3,269.75,106.45,Eating/Drinking Out,2024-09-05,Chase Freedom Flex,USD
Uber,11.93,382.58,"1,008.81",398.11,Travel,2024-09-06,WF Checking,USD
Tiger Mart,2.59,83.06,219.01,86.43,Eating/Drinking Out,2024-09-06,Discover It Cashback,USD
Uber,8.96,287.34,757.67,299,Travel,2024-09-06,WF Checking,USD
ParkMobile,11.7,375.21,989.37,390.43,Miscellaneous,2024-09-06,UFCU Platinum Cashback,USD
Taco Bell,7.62,244.37,644.36,254.28,Eating/Drinking Out,2024-09-06,UFCU Platinum Cashback,USD
Uber,10.96,351.48,926.79,365.74,Travel,2024-09-08,UFCU Platinum Cashback,USD
Target,21.87,701.35,"1,849.35",729.81,Miscellaneous,2024-09-09,UFCU Platinum Cashback,USD
Buffalo Exchange,22.73,728.93,"1,922.08",758.51,Apparel,2024-09-09,UFCU Platinum Cashback,USD
Kins Mart,5.73,183.76,484.54,191.21,Groceries,2024-09-09,UFCU Platinum Cashback,USD
Target,5.41,173.49,457.48,180.53,Miscellaneous,2024-09-09,UFCU Platinum Cashback,USD
The Cut Hut,26.39,846.3,"2,231.57",880.65,Miscellaneous,2024-09-09,Chase Checking,USD
Einstein Bros. Bagels,6.7,214.86,566.56,223.58,Eating/Drinking Out,2024-09-10,UFCU Platinum Cashback,USD
Foodie's Corner,8.48,271.95,717.08,282.98,Eating/Drinking Out,2024-09-10,UFCU Platinum Cashback,USD
Chick-fil-A,5.81,186.32,491.3,193.88,Eating/Drinking Out,2024-09-11,Chase Checking,USD
Buffalo Exchange,12.99,416.58,"1,098.45",433.48,Apparel,2024-09-11,Chase Checking,USD
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-09-11,Discover It Cashback,USD
Ultra Mobile,19.75,633.36,"1,670.08",659.07,Utilities,2024-09-11,WF Checking,USD
Target,5.91,189.53,499.76,197.22,Groceries,2024-09-12,Discover It Cashback,USD
Chi'Lantro BBQ,10.81,346.67,914.11,360.74,Eating/Drinking Out,2024-09-12,Discover It Cashback,USD
CVS Pharmacy,9.8,314.28,828.7,327.03,Miscellaneous,2024-09-12,Discover It Cashback,USD
Yalla Burgers and Wings,24.88,797.88,"2,103.88",830.26,Eating/Drinking Out,2024-09-12,Chase Checking,USD
Buc-ee's,1.29,41.37,109.08,43.05,Eating/Drinking Out,2024-09-13,UFCU Platinum Cashback,USD
Buc-ee's,13,416.9,"1,099.30",433.82,Eating/Drinking Out,2024-09-13,Chase Checking,USD
Calm Water Rentals,40,1282.76,"3,382.45","1,334.82",Travel,2024-09-13,Chase Checking,USD
HEB,7.16,229.61,605.46,238.93,Groceries,2024-09-13,Discover It Cashback,USD
Granny D's,12.83,411.45,"1,084.92",428.14,Eating/Drinking Out,2024-09-14,Chase Checking,USD
Kafekali & Bakery,6.62,212.3,559.79,220.91,Eating/Drinking Out,2024-09-14,Discover It Cashback,USD
Target,12.11,388.36,"1,024.04",404.12,Groceries,2024-09-15,Discover It Cashback,USD
CVS Pharmacy,3.13,100.38,264.68,104.45,Eating/Drinking Out,2024-09-15,Discover It Cashback,USD
Wheatsville Co-Op,12.98,416.26,"1,097.60",433.15,Eating/Drinking Out,2024-09-15,Discover It Cashback,USD
Christian Life Austin,10,320.69,845.61,333.71,Miscellaneous,2024-09-15,Chase Checking,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-09-16,WF Checking,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-09-16,WF Checking,USD
Orange Market,7.33,235.07,619.83,244.61,Eating/Drinking Out,2024-09-16,Discover It Cashback,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-09-17,WF Checking,USD
Chick-fil-A,3.52,112.88,297.66,117.46,Eating/Drinking Out,2024-09-17,Discover It Cashback,USD
Kins Mart,8.42,270.02,712,280.98,Eating/Drinking Out,2024-09-17,Discover It Cashback,USD
Target,3.14,100.7,265.52,104.78,Groceries,2024-09-17,Discover It Cashback,USD
Chipotle,9.2,295.03,777.96,307.01,Eating/Drinking Out,2024-09-18,Discover It Cashback,USD
Airtel,10.63,340.94,899,354.77,Utilities,2024-09-18,Axis Bank Savings,INR
Hospital Expenditures,591.29,18962.01,"50,000.00","19,731.58",Miscellaneous,2024-09-18,Axis Bank Savings,INR
Ultra Mobile,46.87,1503.07,"3,963.38","1,564.08",Subscriptions,2024-09-19,WF Checking,USD
One Two Three Sushi,9.73,312.03,822.78,324.69,Eating/Drinking Out,2024-09-19,Discover It Cashback,USD
Kerbey Lane Cafe,15.9,509.9,"1,344.52",530.59,Eating/Drinking Out,2024-09-19,WF Checking,USD
Pinch,9.73,312.03,822.78,324.69,Eating/Drinking Out,2024-09-20,UFCU Platinum Cashback,USD
Nueces Mart,14.48,464.36,"1,224.45",483.2,Eating/Drinking Out,2024-09-20,Discover It Cashback,USD
Spirit Halloween,8,256.55,676.49,266.96,Miscellaneous,2024-09-21,Chase Checking,USD
Rio Mart,3.75,120.26,317.1,125.14,Eating/Drinking Out,2024-09-21,Chase Checking,USD
Brat Party,5,160.35,422.81,166.85,Entertainment,2024-09-21,Chase Checking,USD
Chat Patta,8.5,272.59,718.77,283.65,Eating/Drinking Out,2024-09-21,Chase Checking,USD
Target,25.37,813.59,"2,145.32",846.61,Groceries,2024-09-22,Chase Checking,USD
CVS Pharmacy,3.13,100.38,264.68,104.45,Groceries,2024-09-22,Chase Checking,USD
Interest,13.39,429.4,"1,132.27",446.83,Fees,2024-09-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,1.95,62.53,164.89,65.07,Fees,2024-09-22,UFCU Platinum Cashback,USD
Chili's,25.72,824.81,"2,174.91",858.29,Eating/Drinking Out,2024-09-23,Discover It Cashback,USD
Kins Mart,7.35,235.71,621.52,245.27,Groceries,2024-09-24,Discover It Cashback,USD
O's Cafe,3.19,102.3,269.75,106.45,Eating/Drinking Out,2024-09-24,Discover It Cashback,USD
CVS Pharmacy,4.38,140.46,370.38,146.16,Eating/Drinking Out,2024-09-24,Discover It Cashback,USD
Amazon,47.62,1527.13,"4,026.80","1,589.10",Apparel,2024-09-24,Discover It Cashback,USD
Spotify,6.48,207.81,547.96,216.24,Subscriptions,2024-09-24,WF Checking,USD
CAVA,13.26,425.23,"1,121.28",442.49,Eating/Drinking Out,2024-09-26,Chase Freedom Flex,USD
UPS,48.11,1542.84,"4,068.24","1,605.45",Miscellaneous,2024-09-26,Chase Checking,USD
ATX Gyro,5.95,190.81,503.14,198.55,Eating/Drinking Out,2024-09-26,UFCU Platinum Cashback,USD
UT Tacos,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-09-27,Discover It Cashback,USD
ATX Gyro,1.62,51.95,136.99,54.06,Eating/Drinking Out,2024-09-27,Discover It Cashback,USD
Target,36.49,1170.2,"3,085.64","1,217.69",Groceries,2024-09-28,Chase Checking,USD
Kabobzi,23.2,744,"1,961.82",774.2,Eating/Drinking Out,2024-09-29,Discover It Cashback,USD
JINYA Ramen Bar,24.42,783.12,"2,064.98",814.91,Eating/Drinking Out,2024-09-29,Discover It Cashback,USD
Orange Market,3.78,121.22,319.64,126.14,Groceries,2024-09-30,Chase Checking,USD
Las Trancas Taco Stand,11.12,356.61,940.32,371.08,Eating/Drinking Out,2024-10-01,Chase Checking,USD
Parking,3.75,120.26,317.1,125.14,Travel,2024-10-01,Chase Checking,USD
CVS Pharmacy,8.32,266.81,703.55,277.64,Groceries,2024-10-02,Discover It Cashback,USD
Rent,877.49,28140.23,"74,201.57","29,282.28",Rent,2024-10-02,UFCU Checking,USD
Pinch,9.73,312.03,822.78,324.69,Eating/Drinking Out,2024-10-02,Chase Checking,USD
Chick-fil-A,9.52,305.3,805.02,317.69,Eating/Drinking Out,2024-10-03,Discover It Cashback,USD
Wheatsville Co-Op,33,1058.28,"2,790.52","1,101.23",Groceries,2024-10-04,Chase Checking,USD
Netflix,16.77,537.8,"1,418.09",559.62,Subscriptions,2024-10-04,Discover It Cashback,USD
VFS Global,183.77,5893.39,"15,540.00","6,132.57",Fees,2024-10-04,Axis Bank Savings,INR
Trader Joe's,64.17,2057.87,"5,426.29","2,141.38",Groceries,2024-10-05,Chase Checking,USD
Uber,5,160.35,422.81,166.85,Travel,2024-10-06,WF Checking,USD
Chuy's,27.46,880.61,"2,322.05",916.35,Eating/Drinking Out,2024-10-06,Discover It Cashback,USD
Amazon,226.23,7254.97,"19,130.27","7,549.41",Tech,2024-10-07,Discover It Cashback,USD
IndiGo,78.53,2518.53,"6,641.00","2,620.75",Travel,2024-10-08,Axis Bank Savings,INR
ATX Gyro,5.95,190.81,503.14,198.55,Groceries,2024-10-09,Chase Checking,USD
Target,16.5,529.14,"1,395.26",550.61,Miscellaneous,2024-10-10,WF Checking,USD
Electricity & Internet,153.4,4919.38,"12,971.68","5,119.03",Utilities,2024-10-11,WF Checking,USD
Flower Child,38.22,1225.68,"3,231.93","1,275.42",Eating/Drinking Out,2024-10-11,Discover It Cashback,USD
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-10-11,UFCU Platinum Cashback,USD
New Guild Party,10,320.69,845.61,333.71,Entertainment,2024-10-11,Chase Checking,USD
Six Flags Over Texas,97.41,3123.84,"8,237.10","3,250.62",Entertainment,2024-10-11,Chase Freedom Flex,USD
In-N-Out,4.76,152.65,402.51,158.84,Eating/Drinking Out,2024-10-12,Discover It Cashback,USD
Buc-ee's,12.86,412.41,"1,087.46",429.14,Eating/Drinking Out,2024-10-12,Discover It Cashback,USD
Six Flags Over Texas Parking,6,192.41,507.37,200.22,Travel,2024-10-12,Chase Checking,USD
Johnny Rockets,21.1,676.66,"1,784.24",704.12,Eating/Drinking Out,2024-10-12,UFCU Checking,USD
Six Flags Over Texas Drink,14.93,478.79,"1,262.50",498.22,Eating/Drinking Out,2024-10-12,Discover It Cashback,USD
CVS Pharmacy,2.26,72.48,191.11,75.42,Miscellaneous,2024-10-13,WF Checking,USD
Shug's Bagels,9.48,304.01,801.64,316.35,Eating/Drinking Out,2024-10-13,Discover It Cashback,USD
CVS Pharmacy,2.49,79.85,210.56,83.09,Eating/Drinking Out,2024-10-13,Discover It Cashback,USD
7 Brew Coffee,6,192.41,507.37,200.22,Eating/Drinking Out,2024-10-13,Chase Checking,USD
State Fair of Texas Parking,5,160.35,422.81,166.85,Travel,2024-10-13,WF Checking,USD
